"You have no notifications.";"You have no notifications."
"View All Notifications";"View All Notifications"
"Mark as Read";"Mark as Read"




"Tip: %1$sClick here%2$s to send your first message!";"Tip: %1$sClick here%2$s to send your first message!"
"Compose Message";"Compose Message"
"%s person";"%s person";"%s people"
"(No Subject)";"(No Subject)"
"View All Messages";"View All Messages"





"Friend Requests";"Friend Requests"
"You have no Friend Requests.";"You have no Friend Requests."
"View All Requests";"View All Requests"
"Sign In";"Sign In"
"Join";"Join"





"Forgot Password?";"Forgot Password?"
"Login with Twitter";"Login with Twitter"
"Login with Facebook";"Login with Facebook"
"Mark as Read";"Mark as Read"
"Mark as Unread";"Mark as Unread"